"AQeCode","Y","Year","Projection","Lon","Lat","Alt","AQeType","AQeArea","HighDens","LowDens","Ind","Transp","Seap","Airp","Constr","UrbGreen","Agri","Forest","AGS","PopDens","PriRoad","SecRoad","FedAuto","LocRoute","indRegions"
"DEST089",6.28049625,2015,"EPSG:4979",11.172327,52.593136,95,"background","rural-regional",0,0,0,0,0,0,0,0,0,1,"15081280",36.8090922110822,0,0,0,0,"15"
"DEST090",13.90287523,2015,"EPSG:4979",12.032141,51.321364,96,"industrial","suburban",0,0.413461538461538,0.0480769230769231,0,0,0,0,0,0.503205128205128,0.0352564102564103,"15088205",157.633222169717,0,0,0,0,"15"
"DEST091",20.61393212,2015,"EPSG:4979",12.244764,51.840576,61,"traffic","urban",0,0.717948717948718,0.016025641025641,0,0,0,0,0.253205128205128,0,0.0128205128205128,"15001000",336.313708669724,2242.67880160285,0,0,0,"15"
"DEST092",32.46390882,2015,"EPSG:4979",12.59827,51.867471,73,"traffic","urban",0,0.487179487179487,0.128205128205128,0,0,0,0,0.00320512820512821,0.336538461538462,0,"15091375",191.842425983093,1988.69389917316,0,0,0,"15"
"DEST095",27.49361355,2015,"EPSG:4979",11.449438,51.759554,125,"traffic","urban",0,0.821086261980831,0.00958466453674121,0,0,0,0,0.115015974440895,0.0479233226837061,0.00638977635782748,"15089015",176.946316652341,1933.26058130406,0,0,382.459791480015,"15"
"DEST098",4.74199084,2015,"EPSG:4979",11.043386,51.662435,419,"background","rural-regional",0,0,0,0,0,0,0,0,0.440894568690096,0.559105431309904,"15085145",48.791057530951,0,0,0,0,"15"
"DEST102",48.59622402,2015,"EPSG:4979",11.981314,51.494756,118,"traffic","urban",0,0.610932475884244,0.189710610932476,0.0739549839228296,0,0,0,0.0578778135048231,0.067524115755627,0,"15002000",1743.51072402839,2412.49325240341,0,0,0,"15"
"DEST103",34.01210926,2015,"EPSG:4979",11.632669,52.12076,53,"traffic","urban",0,0.410094637223975,0.0189274447949527,0.10410094637224,0,0,0,0.381703470031546,0,0,"15003000",1174.02111827705,0,0,0,0,"15"
"DEST104",8.87279589,2015,"EPSG:4979",11.891412,51.837306,72,"background","rural",0,0.0673076923076923,0,0,0,0,0,0,0.932692307692308,0,"15082256",63.0732775537443,0,0,0,1896.77297064869,"15"
"DEST105",11.33846317,2015,"EPSG:4979",11.850274,52.602056,35,"background","urban",0,0.762820512820513,0.0897435897435897,0.0576923076923077,0,0,0,0.0897435897435897,0,0,"15090535",149.30046907173,0,1012.20164721749,0,83.3323034790339,"15"
